,제목,개봉년도,요약,줄거리
617,적호서생,2021,,
618,전야,2021,이 일에 관련된 자는 누구도 용서하지 않는다!,양어머니 밑에서 ‘한나’와 함께 자란 ‘정우’는어려운 가정환경에 보탬이 되고자 외국으로 떠난다.하지만 뺑소니 교통 사고로 양어머니의 사망 소식을 접한 뒤한국으로 돌아오게 되고 이 사건에 지역 조직 태창파의 일원이자‘한나’의 동창 ‘철진’이 연관되어 있다는 사실을 알게 된다한편 세력 확장을 위해 일본 야쿠자 조직과 손잡은 태창파는자신들을 조여 오는 ‘정우’를 잡고자 ‘한나’를 납치하게 되고이에 정우는 더욱더 분노하게 되는데...모든 걸 잃은 한 남자의 분노가 폭발한다!
619,전주에서 길을 묻다,2021,,
620,점보,2021,당신을 뒤흔들 강렬한 사랑의 움직임  “내가 널 느껴. 그게 진짜 사랑이야”,"수줍음 많은 소녀 ‘잔’은 또래와 어울리지 못한 채 놀이공원 야간 청소부로 일하며 자신만의 세계에서 외롭게 살아가고 있다. 그런 잔이 유일하게 사랑의 감정을 느끼는 존재는 환한 불빛을 밝히며 돌아가는 거대한 놀이기구.  잔은 ‘점보’라는 이름을 붙여 사랑을 속삭이고, 점보 역시 그런 잔에게 반응하기 시작한다. 점보와의 교감으로 잔은 행복을 찾기 시작하지만 잔의 엄마를 비롯한 주변 사람들은 그녀를 이해하지 못하고, 설상가상 놀이공원에서는 수익성이 떨어진다는 이유로 점보를 철거할 계획을 세우는데…"
621,정글 크루즈,2021, 디즈니 제작! 이번엔 아마존이다!,"미지의 세계 아마존에서 관광객들에게 최고의 스릴을 선사하는재치 넘치는 크루즈 선장 프랭크(드웨인 존슨).고대 아마존의 전설을 쫓아 영국에서 온 식물 탐험가 릴리 박사(에밀리 블런트)가의학의 미래를 바꿀 치유의 나무를 찾는 여정에 함께 할 것을 제안하면서,순탄치 않은 모험을 시작하게 된다.달라도 너무 다른 두 사람은 아름답지만 온갖 위험이 도사리는 열대우림으로 함께 모험을 떠나고수많은 역경과 초자연적인 힘을 마주하게 된다.고대 나무에 얽힌 비밀이 드러날수록 릴리와 프랭크는 더욱더 커다란 위험에 처하고인류의 운명도 위태로워지는데…전설을 믿는다면 저주도 믿어야 한다!"
622,정말 먼 곳,2021,,
623,정브르의 동물일기,2021,,
624,정사4-위험한 사랑,2021,,
625,정사: 서로 다른 욕망,2021,,
626,제이티 르로이,2021,,
627,"조제, 호랑이 그리고 물고기들",2021,“바다가 보고 싶었어”,"세상과 단절된 채 살아가던 조제, 지구 반대편의 세상을 꿈꾸며 살아가는 츠네오. 운명처럼 만난 두 사람은 같은 바다를 꿈꾸게 된다."
628,족벌 두 신문 이야기,2021,"‘조선’, ‘동아’ 스스로 권력이 된 그들모든 역사를 뒤집어야 합니다","앞잡이1985년 동아일보와 조선일보는 느닷없이 ‘친일 공방’을 벌인다. 누가 더 ‘친일지’고 ‘민족지’인지 다투는 이전투구였다. 두 신문이 한사코 감추려 한 ‘일제의 앞잡이’ 역사를 추적한다.밤의 대통령일제가 가고 두 신문 앞에 새로운 권력이 나타났다. 이들은 박정희, 전두환 군부 독재 정권에 굴복하고, 유착하면서 그 대가로 덩치를 키워 소위 ‘밤의 대통령’이라고 불린 영향력을 행사했다. 반면 권력과 사주에 맞서 자유언론을 지키려던 두 신문 소속 언론인 수백 명은 차디찬 거리로 쫓겨났다.악의 축1987년 민주화 이후 확보된 언론 자유의 공간이 아이러니하게 족벌신문 사주에게 날개를 달아줬다. 두 족벌은 정관계 및 재벌과 인맥, 혼맥으로 이어진 거대한 네트워크를 구축하고 종편 등 수십 개 계열사를 거느리며 ‘불가사리’ 같은 권력이 됐다. 대통령 노무현은 언론개혁을 시도했으나 거대 기득권 언론 앞에 작고 외로운 섬일 뿐이었다. 두 족벌 미디어 기업은 ‘특판’, ‘기사형 광고’, ‘반사회적 광고’ 물량에서도 1, 2위를 다툰다. 이들은 4대, 5대 세습을 하며, 2020년 창간 100주년을 맞아 ‘진실의 수호자’. ‘더 나은 100년’을 외친다."
629,존 도우,2021,,
630,졸트,2021,,
631,좀비크러쉬: 헤이리,2021,“세 명의 영웅이 헤이리를 구하리라!”,"자고 일어나니 온 동네에 퍼진 좀비 바이러스! 살아남기 위해 고군분투하는 진선(공민정), 현아(이민지), 가연(박소진) 삼총사는우연히 숨겨진 비리를 알게 되고 마을을 구하기 위해 용기를 내는데..  무더위 통쾌하게 날려버릴 NEW 코믹 액션 어드벤처가 온다!"
632,좀비타운,2021,득실거리는 좀비떼와의 사투하지만 이것이 끝이 아니다!연쇄살인마까지 가세한 본격 장르파괴무비를 경험하라!,"부모님의 불화로 힘들어하는 제이슨은 친구인 콜린네 가족과 함께 캠핑 여행을 떠난다. 외진 숙소에 도착한 뒤 제이슨과 콜린, 콜린의 누나인 서머는 주변 숲을 둘러보다 음산한 오두막을 발견한다. 이윽고 아이들은 오두막 주인인 여자가 함께 온 두 남자를 기절시킨 후, 정체를 알 수 없는 것들에게 먹히게 하는 것을 목격하게 된다. 셋은 숙소로 돌아와 어른들에게 이 사실을 알리지만, 아버지인 로저는 이를 장난으로 여기고 오두막을 찾아가 보자고 한다. 설상가상으로 로저는 약을 탄 술에 취해 오두막에서 기절하게 되는데… 낯선 숲속에서 벌어지는 좀비와 치명적인 살인마와의 혈투에서 이들은 무사히 살아남을 수 있을까?"
633,종착역,2021,,
634,"좋은 빛, 좋은 공기",2021,"산 자여 기억하라! 5월의 ‘광주’를, 5월의 ‘부에노스아이레스’를","1980년 5월 18일 좋은 빛(光州, Good Light)이라는 뜻을 가진 ‘광주’의 시민들이 신군부 세력에 의해 7천여 명이 무고한 희생을 당하고 있을 때, 좋은 공기(Buenos Aires, Good Air)라는 뜻을 가진 ‘부에노스아이레스’의 국가 권력 또한 3만여 명의 시민들을 실종자로 만들었다.지구 반대편, 광주와 부에노스아이레스라는 두 도시의 같은 이름처럼 놀랄 만큼 닮은 학살의 고통. 아직도 아픈 역사 속 시대를 겪은 살아남은 사람들의 목소리가 생생하다. 남편과 자식을 지키기 위해 나섰던 광주의 어머니들은 오늘도 그날의 진상을 규명하고, 사라지고 있는 항쟁의 흔적을 복원하라고 투쟁한다. 강제 실종된 자식을 찾고자 77년부터 시작된 부에노스아이레스 어머니들의 5월 광장 침묵 행진은 지금까지도 같은 마음으로 계속된다.평범했던 그들을 움직이고, 깨닫고, 투쟁하게 했던 국가 폭력의 기억은 이제 시대를 넘어 우리 다음 세대에게 전달돼 추모와 애도의 현재적 의미를 다지고, 우리가 정립해나가고자 하는 미래로 향해, 분명 더 좋은 빛과 더 좋은 공기가 될 것이다."
635,좋은 사람,2021,,
636,주세페 베르디의 `레퀴엠`,2021,,
637,죽어도 좋은 경험,2021,,
638,죽을 때까지,2021,,
639,죽이러 간다,2021,,
640,쥬라기 헌트,2021,최강 헌터 VS 공룡!  누가 진짜 포식자인가?!,"아무도 찾지 않는 황야에 모인 ‘파커’와 일급 사냥꾼들.  그들의 눈앞에 유전학으로 재탄생 된 공룡들이 공개되고, 곧 세상에서 가장 위험한 게임이 시작된다.  먹히고 먹히는 서바이벌 속에서 공룡들은 점점 통제할 수 없게 되어버리고, ‘파커’와 사냥꾼들은 이 아수라장에서 탈출을 하려 하는데…  지상 최대의 사냥 게임이 시작된다!"
641,지구 최후의 날 2021,2021,,
642,지저귀는 새는 날지 않는다: 돈 스테이 골드,2021,,
643,차인표,2021,“십 년을 쌓아도 한방에 무너지는 게 이미지야”,"손가락 하나로 대한민국을 발칵 뒤집어 놓았던 왕년의 슈퍼스타 차인표. 지금은 연기 4대 천왕에 끼고 싶지만 낄 수 없는, 열정만 가득한 몸짱 배우일 뿐이다.그의 오랜 철학인 ‘진정성’ 있는 아웃도어 광고를 위해 직접 등산복을 입고 산에 올라간 어느 날, 예상치 못한 사고에 휘말리고, 우연히 들어간 체육관이 붕괴되면서 난데없이 갇히게 되는데...그 누구도 모르게, 그곳을 빠져나와야 하는 차인표 그리고 그 누구도 모르게, 그를 구출해야 하는 매니저늘 멋지고! 강인하고! 젠틀하고! 반듯한!자칭 대한민국 대표 젠틀맨 차인표!이미지에 죽고, 이미지에 사는 그는 무사히 탈출할 수 있을까?"
644,창극 패왕별희,2021,,
645,챔피언,2021,,
646,척살대,2021,영웅들이 깨어난다!,"마도문의 제자 ‘아청’은 사부의 명으로 당문의 장문에게 서신을 전달하려 길을 떠난다. 허나 당문을 비롯한 강호의 각 무림 장문들이 원인 모를 독에 중독되어 사경을 헤매게 되고 그 원인이 불양수의 음모임을 알게 된 ‘아청’은 창술의 ‘복풍’, 상인 ‘강약신’등 동료들과 함께 강호의 평화를 위한 마지막 전투를 준비한다."
647,천계신검,2021,,
648,천녀유혼: 귀애도,2021,,
649,천녀유혼: 인간정,2021,‘그리운 내 님은 강가 저편에 서 있네’,"과거 시험을 보기 위해 길에 오른 ‘영채신’은 비를 피하던 도중 우연히 아름다운 귀신 ‘소천’을 만나게 되고, 둘은 거스를 수 없는 운명 속에서 금기된 사랑을 시작하게 되는데...  운명을 거스른 불멸의 사랑이 다시 시작된다!"
650,천사는 바이러스,2021,,
651,천지열혈 양가장,2021,,
652,첫눈이 사라졌다,2021,"“하나, 둘, 셋. 숨을 내쉴 때마다 몸이 가벼워집니다. 먼지처럼!”","자신의 특별한 능력을 통해 사람들의 마음 속 슬픔과 갈망을 들여다보는 최면술사 ‘제니아’.  그의 능력은 순식간에 입소문을 타고 폴란드 바르샤바의 한마을이 떠들썩해진다.  모두가 그를 만나고 싶어 혈안이 된 가운데, 미스터리에 감추어진 ‘제니아’의 최면술이 사람들을 사로잡기 시작한다.  ""당신의 불행과 고통을 몰아내는 중입니다. 제가 셋을 세면 눈을 뜹니다. 하나, 둘, 셋, 탁!"""
653,청춘 선거,2021,,
654,청춘열애,2021,,
655,청춘일기,2021,태풍이 휩쓸고 지나간 작은 마을소년의 마음 속엔 더 큰 감정의 폭풍이 몰려온다!,여름 캠프에 다녀온 필은 쌍둥이 다이앤과 엄마 글라스가 사는 집으로 돌아온다. 거센 태풍이 휩쓸고 간 동네는 예전 같지 않고 글라스와 다이앤은 서로 대화를 하지 않는다. 그러던 중 필은 전학생 니콜라스를 보고 곧바로 사랑에 빠지고 절친 캣은 둘 사이를 질투하기 시작하는데…
656,체르노빌 1986,2021,,
657,초능력 에볼루션,2021,,
658,최면,2021,지우고 싶은 기억이 있어요?,"학교생활에 충실한 영문과 대학생 ‘도현’(이다윗).우연히 편입생 ‘진호’(김남우)를 통해 최면에 관심을 가지게 되고‘최교수’(손병호)에 의해 최면 치료를 받게 된다.그러나 최면 체험 이후 그는 알 수 없는 기억의 환영을 보기 시작하고친구들도 하나 둘 이상한 환영에 시달리다 의문의 사건을 맞이한다.‘최교수’는 왜 ‘도현’과 친구들에게 최면을 걸기 시작한 것일까...?기억의 빈틈, 진실은 그곳에 있다!"
659,최선의 삶,2021,그때는 몰랐다 그게 우리의 최선이었다,"열여덟 ‘강이’, ‘아람’, ‘소영’. 더 나아지기 위해서 기꺼이 더 나빠졌던 우리의 이상했고 무서웠고 좋아했던 그 시절의 드라마 최선의 삶"
660,추격자: 파이널 미닛,2021,,
661,추룡 2 : 패왕,2021,"홍콩 반환을 앞둔 혼돈기, 목숨을 건 잠입 수사!  누구도 믿을 수 없다!","1996년, 홍콩의 중국 반환을 앞둔 혼란기. 중국 공안은 홍콩을 반환 받기 전 홍콩 내의 범죄 세력을 소탕 하기 위해 홍콩 경찰과 공조 수사를 시작한다. 홍콩 최대의 범죄 조직 두목인 용지간(양가휘)은 마약, 납치, 강도살인 등 돈만 되면 특유의 용의주도함과 잔임함으로 범죄를 일삼는다. 용지간은 홍콩 반환전 마지막 범죄를 통해 20억을 챙겨 사라질 계획을 세운다. 정보를 입수한 베테랑 홍콩 경찰 이경감(임달화)은 이를 막기위해 폭발물 전문가인 형사 천아(고천락)를 용지간의 범죄조직에 잠입시킨다. 하지만 천아는 곧 신분이 들통날 위기에 처하고 누구도 믿을 수 없는 상황에 빠지게 되는데..."
662,칙 파이트,2021,인생 리셋을 위해 펀치를 날려라,"되는 일 없이 점점 꼬여만 가는 인생이 답답한 플로리다의 싱글녀 ‘애나’.그녀의 절친은 자신감을 되찾아야 할 때라며 ‘애나’를 여성 전용 파이트 클럽으로 데려간다.싸워본 적도 없고 싸우는 것도 싫은 그녀는 얼떨결에 클럽의 일원이 되고어느 날, 무소불위 강자 ‘올리비아’가 자존심을 건드리자 충동적으로 결투를 신청하는데…언니들의 미친 맞짱이 시작된다!"
663,침묵의 숲,2021,"그날 이후, 학교는 지옥이 되었다 “내가 널 구해줄게”","청각 장애가 있는 소년 ‘창청’은  특수 학교로 전학을 간다.  새로운 친구들을 만날 기대에 부푼 ‘창청’은 ‘베이베이’라는 소녀와 가까워지게 된다.  하지만 설렘도 잠시, 통학 버스 뒷자리에서 ‘베이베이’에게 벌어지는 끔찍한 사건을 목격하게 되고,  ‘창청’은 ‘베이베이’를 구하기 위해 용기를 내는데…"
664,카라타이: 태양의 전사,2021,,
665,카르멘,2021,,
666,카발레리아 루스티카나,2021,,
667,카오스 워킹,2021,"혼돈의 세상, 모든 생각이 노출된다!","모든 생각이 실시간으로 노출되는 ‘노이즈’에 감염된 세상 뉴 월드. 토드(톰 홀랜드)는 이 곳에 불시착한 의문의 유입자 바이올라(데이지 리들리)와 마주하게 된다.  혼돈의 세상 속 숨겨진 비밀에 의문을 품은 두 사람은 뉴 월드를 탈출할 계획을 세우고,  뉴 월드의 통치자 데이비드(매즈 미켈슨)는 위험을 직감하고 이들을 추격하기 위해 모든 수단을 동원하는데…   살고 싶다면 반드시 탈출해야만 한다!"
668,캅샵: 미친놈들의 전쟁,2021,,
669,캐논볼,2021,"죽도록 싫었던 형이 죽었다아무도 모르는, 남겨진 자들의 이야기","예상치 못한 사고로 형을 잃은 ‘현우’.‘현우’는 모든 원인이 담임 선생님 ‘연정’의동생에게 있다는 사실을 알게 된다.한편, 동생이 저지른 사고로 힘든 일상을 보내던‘연정’은 ‘현우’에게 뜻밖의 이야기를 전해 듣는다.“선생님 동생 감옥에 있죠?”난감하기만 한 ‘연정’은 ‘현우’에게이해할 수 없는 부탁을 받게 되는데…“선생님이랑 바다에 가고 싶어요”"
670,캐시트럭,2021,,
671,캔디 위치,2021,,
672,캔디맨,2021,,
673,커넥트,2021,함부로 휴대폰 전원을 켜지 말 것!  절대 '그것'과 연결되지 말 것!,휴대폰에서 미스터리한 전자 책을 발견하고 자신도 모르게 또 다른 뒤집힌 세계의 통로를 열어버린 소년 ‘올리버’. 오직 디지털 기기 화면을 통해서만 볼 수 있는 미스터리 존재 ‘그것’의 타깃이 된다. ‘올리버’와 엄마 ‘사라’는 살아남기 위해 모든 디바이스로부터 필사적으로 도망쳐야 하는데… 당신의 일상을 집어삼킬 온택트 공포가 깨어난다!
674,커피 오어 티,2021,Wi-Fi도 안 터지는데 최첨단 이커머스?!,도전하는 스타트업마다 10전 10패! 번아웃 직전의 이과형 창업덕후 ‘웨이 진베이’ 대륙 횡단 새벽 배송을 꿈꾸며 고향으로 컴백한 무한 긍정의 예체능형 배달덕후 ‘펑 시우빙’ 2천 년 보이차 고장에서 나홀로 스X벅X! 마이웨이 바리스타 문과형 커피덕후 ‘리 샤오췬’  깡시골 윈난에서 의기투합한 극과극 세 청춘의 난리법석 스타트업이 시작된다!
675,컨저링 3: 악마가 시켰다,2021,모든 것은 악마가 시켰다!,"1981년, 미국 역사상 최초로 잔혹한 살인사건의 용의자가 악마가 살해하도록 시켰다고 주장하는 초유의 사태가 일어난다! 그리고 사건의 배후에는 악마에게 빙의된 소년이 있었는데…  초자연 현상 연구가 워렌 부부의 사건 파일 중 여전히 미스터리로 남아있는 실화! 진실 혹은 거짓? 살인사건의 범인, 인간인가 악마인가..."
676,컨저링: 귀신의 집,2021,,
677,컴 애즈 유 아,2021,,
678,컴백 트레일,2021,,
679,켈리 갱,2021,* 역사상 가장 충격적인 실화를 바탕으로 함 *,폭력과 부패로 가득했던 시대 온갖 범죄로 세상을 더럽히는 무법자 ‘해리’와 부패경찰 ‘알렉스’에 맞서 자신만의 방식으로 악인들을 단죄한  전설적 영웅이자 세상이 버린 위대한 범죄자 ‘네드 켈리’의 이야기가 시작된다!
680,코끼리와 나비,2021,"5년의 시간이 흐른 뒤, 너라는 기적을 만났다!","5년 만에 고향에 돌아온 앙투안은 얼떨결에 옛 애인의 딸 엘사를 보호하게 된다. 천사 같은 미소, 심장을 녹이는 애교, 저절로 미소가 지어지는 5살 소녀가 낯설지 않다. 엘사도 앙투안에게 고백한다. ""비밀이 있어요, 아저씨가 누군지 알 것 같아요""서로를 아주 많이 사랑한다면, 그건 우리가 특별한 사이이기 때문일 거야. 존재조차 몰랐던 우리, 너무 늦은 건 아니겠지?"
681,코다,2021,음악의 마법에 빠질 시간! 가장 조용한 세상에서 시작된 여름의 노래!,24/7 함께 시간을 보내며 소리를 들을 수 없는 가족을 세상과 연결하는 코다 '루비'는 짝사랑하는 '마일스'를 따라간 합창단에서 노래하는 기쁨과 숨겨진 재능을 알게 된다.합창단 선생님의 도움으로 마일스와의 듀엣 콘서트와 버클리 음대 오디션의 기회까지 얻지만자신 없이는 어려움을 겪게 될 가족과 노래를 향한 꿈 사이에서 루비는 망설이는데…
682,코드 카림,2021,“내 삶을 되찾을 겁니다”,"국가로부터 은밀한 지령을 받고 임무를 수행하던 첩보 요원 ‘카림’. 그동안 겪었던 끔찍한 기억을 뒤로하고 자신의 인생을 되찾기로 결심한다. 하지만, 이탈리아 최대의 테러 조직을 소탕하는 마지막 임무에서 예상치 못한 함정에 빠지게 되고, 자신의 목숨마저 위협받는 상황에 놓이고 마는데…"
683,코드기아스: 부활의 를르슈,2021,,
684,코스믹 씬,2021,,
685,코코: 죽은 자들의 세상,2021,,
686,콰이어트 존,2021,,
687,콰이어트 플레이스 2,2021,소리 없이 맞서 싸워라!,"실체를 알 수 없는 괴생명체의 공격으로 일상의 모든 것이 사라진 세상, 아이들 대신 죽음을 선택한 아빠의 희생 이후 살아남은 가족들은 위험에 노출된다. 갓 태어난 막내를 포함한 아이들과 함께 소리 없는 사투를 이어가던 엄마 ‘에블린’은 살아남기 위해 새로운 은신처를 찾아 집 밖을 나서지만,  텅 빈 고요함으로 가득한 바깥은 더 큰 위험이 도사리고 있는데..."
688,쿠사마 야요이: 무한의 세계,2021,여성 아티스트 역대 경매가 1위  국내 미술 경매가 해외 아티스트 중 1위  미술 전시 중 세계 최다 관람객 동원  ,"‘호박’, ‘무한 거울의 방’ 등 지금 전 세계에서 가장 사랑받는 현대 미술의 거장, 쿠사마 야요이  성차별과 인종의 편견을 무너뜨린 독보적인 스타일! 압도적 존재감의 명작들을 처음으로 스크린에서 만난다!"
689,"쿠오바디스, 아이다",2021,전 세계가 눈 감아버린 그 날의 이야기,"1995년, 세르비아군이 마을을 공격하자 보스니아 사람들은 안전지역인 UN 캠프로 피신한다.UN군 통역관으로 일하는 아이다는 남편과 아들이 캠프 안으로 들어오지 못하자그들을 구하기 위해 동분서주한다."
690,크라이시스,2021,,
691,크라임 보스,2021,,
692,크레센도,2021,"점점 세게, 점점 강하게 하나의 오케스트라를 꿈꾼다! ","세계적인 마에스트로 ‘에두아르트’는 평화 콘서트를 위해  오디션을 거쳐 이스라엘과 팔레스타인의 재능 있는 연주자들을 뽑는다.  수십 년간 이어온 분쟁과 갈등을 넘어 오직 음악을 바라보고 모였지만,  깊이 담겨 있던 분노와 증오는 이내 서로를 공격한다.   하나의 오케스트라를 위해 지휘자 ‘에두아르트’는 진심을 담아 노력하고 영원히 평행선을 걸을 것 같던 이들은 조금씩 서로를 이해하기 시작한다.   그러나 공연을 하루 앞두고  팔레스타인 클라리넷 연주자 ‘오마르’와 이스라엘 프렌치 호른 연주가 ‘쉬라’가 사라지는데… 오케스트라 공연은 무사히 열릴 수 있을까?  평화를 향한 희망의 멜로디가 울려 퍼진다!"
693,크루아상,2021,"빵알못 공시생, 크루아상의 세계에 입문하다!","사회 초년생 시절 취업하는 회사마다 페업의 불운을 겪었던 희준은 더 이상 다니는 직장의 폐업을 걱정하지 않아도 될 공무원이 되기 위해 몇 년째 고군분투 중이다. 생동성 실험 아르바이트로 생계를 이어가며 담당 간호사인 윤정만이 건조한 일상에 단비 같은 존재일 뿐이던 희준은 어느 날, 동네 빵집 주인 성은을 알게 된다. 성은은 희준이 그토록 원하는 공무원이었음에도 적성에 맞지 않아 직장을 그만두고, 파티셰가 되어 작은 빵집을 차렸다. 생동성 실험을 위해 병원에 있었던 희준은 어느 날 밤, 병원 응급실에 혼자 오게 된 성은을 도와주게 되고, 성은의 빵집 아르바이트로 일을 하게 된다. 어느새 성은이 만든 빵의 맛과 제빵 과정에 호기심을 느끼게 된 희준은 시험공부를 하는 시간보다, 성은의 작업실에서 함께 빵을 만드는 시간이 더 많아지게 되는데.."
694,크루엘라,2021,,
695,크루즈 패밀리: 뉴 에이지,2021,인류 최초 가족들의 새로운 세상을 향한 스펙터클한 모험이 시작된다!,"동굴을 떠나 새로운 거주지를 찾아 나선 크루즈 패밀리. 우여곡절 끝에 찾은 완벽한 트리 하우스에서 진화된 인류, 베터맨 패밀리와 마주한다. 도구를 사용하고 ‘집’에서 안전하게 살아가는 지능형 베터맨 패밀리와 맨손으로 사냥하고 자연과 함께 살아가는 본능형 크루즈 패밀리는 너무나도 다른 삶의 방식으로 사사건건 부딪힌다.  반면 처음으로 여자 사람친구를 만난 ‘이프’와 ‘던’은 가족들과 달리 우정을 쌓아가지만 점점 두 가족에게 예상치 못한 위협이 닥쳐오는데…"
696,크리미널 카운트다운,2021,,
697,크림,2021,,
698,큰엄마의 미친봉고,2021,,
699,클라이밍,2021,"“너는 나고, 나는 너야”","세 달 전 교통사고를 겪은 세현은 세계 클라이밍 대회를 앞두고 회복되지 않는 컨디션과 경쟁에 대한 압박으로 악몽에 시달린다. 그러던 어느 날 밤, 사고 당시 고장 났던 세현의 핸드폰으로 전화가 걸려온다. 다름 아닌, 바로 '나'로부터. 연락을 주고받을수록 서로 연결되어 있음을 느끼는 두 사람. 급기야 세현은 또 다른 세현의 임신이 자신에게도 영향을 끼친다는 것을 알게 되고, 그 이후 악몽처럼 기이한 일들이 일어나기 시작한다."
700,클리너:살인마의 집,2021,,
701,클리닝 레이디,2021,,
702,클리포드 더 빅 레드 독,2021,,
703,키퍼스,2021,"고립된 섬에 나타난 시체와 금괴 그날 이후, 모든 게 바뀌었다!","육지와 동떨어진 스코틀랜드의 작은 무인도.이 섬의 등대를 관리하는 ‘토마스’, ‘제임스’, ‘도널드’는난파된 보트에서 남자의 시신과 금괴가 든 나무상자를 발견한다.시신을 없애고, 금괴를 나누어 가지기로 한 세 사람.그러나 상자를 찾아 낯선 사람들이 섬에 나타나고,사건은 예상치 못한 방향으로 흘러가는데…100년간 풀리지 않은 ‘그날’의 미스터리숨겨진 진실이 밝혀진다!"
704,킬러가 되는 99가지 방법,2021,,
705,킬러의 보디가드 2,2021,2배로 고통받는 짠내 폭발 보디가드안식년인데 왜 쉬지를 못하니!,"미치광이 킬러 ‘다리우스’의 경호를 맡은 후 매일 밤 그의 악몽을 꾸는 보디가드 ‘마이클’ 앞에 나타난 무대포 직진녀 ‘소니아’남편 ‘다리우스’가 납치되었다며 다짜고짜 그를 구하러 가야 한다고 하는데…한 명도 버거운데 그의 와이프까지 플러스?!설상가상으로 유럽 전역을 위기로 몰아넣는 사건들이 연속적으로 터지고인터폴의 비밀스러운 의뢰까지 추가되는데..2배 더 강력한, 2배 더 골때리는, 2배 더 커진모두가 기다린 1+1 트리플 환장 액션 블록버스터가 온다!"
706,킬러의 보디가드 2: 킬러의 와이프,2021,2배로 고통받는 짠내 폭발 보디가드안식년인데 왜 쉬지를 못하니!,"미치광이 킬러 ‘다리우스’의 경호를 맡은 후 매일 밤 그의 악몽을 꾸는 보디가드 ‘마이클’ 앞에 나타난 무대포 직진녀 ‘소니아’남편 ‘다리우스’가 납치되었다며 다짜고짜 그를 구하러 가야 한다고 하는데…한 명도 버거운데 그의 와이프까지 플러스?!설상가상으로 유럽 전역을 위기로 몰아넣는 사건들이 연속적으로 터지고인터폴의 비밀스러운 의뢰까지 추가되는데..2배 더 강력한, 2배 더 골때리는, 2배 더 커진모두가 기다린 1+1 트리플 환장 액션 블록버스터가 온다!"
707,킬러의 카운슬러,2021,,
708,킬러파티 (양수리 살인사건),2021,,
709,킬링,2021,,
710,킬링 오브 투 러버스,2021,,
711,킬링 카인드 ,2021,,
712,킹메이커,2021,,
713,킹스맨: 퍼스트 에이전트,2021,,
714,타다: 대한민국 스타트업의 초상,2021,"타다금지법 이후 6개월간의 악전고투 이야기 ""어떻게든 살아남아야 한다!""","한국의 우버로 불리며 폭발적으로 성장하던 모빌리티 플랫폼 타다(TADA). 출시한 지 9개월 만에 100만 유저를 확보하며 승승장구하던 중 택시업계의 반발로 법적 공방에 휘말린다. 뜨거운 논란 속 치러진 1심에서 무죄 판결을 받은 날, 모든 팀원들은 함께 모여 ‘종이컵 와인 파티’로 자축한다. 하지만 그로부터 단 14일 뒤, ‘타다금지법’이 통과됐다는 청천벽력의 소식이 들려오는데... 그들은 이 최악의 위기를 뚫고 타다를 새롭게 부활시킬 수 있을까?  모빌리티 플랫폼 타다의 이야기로 세상에 공개되는 ‘스타트업’에 대한 국내 최초의 다큐멘터리 필름"
715,타인의 친절,2021,,
716,타임 이즈 업,2021,"""기억이 지워져도 널 사랑할까?""  로마의 별빛과 함께 한 로맨틱한 하룻밤 사랑","상위 1% 모범생 '비비안'은 자신이 곤경에 처할 때마다 도움을 주는 수영부 문제아 '로이'에게 묘한 호감을 느끼지만 이미 '비비안'의 곁에는 수영부 에이스이자 오랜 남자친구 '스티브'가 있다.  서로에 대한 감정을 애써 무시하던 '비비안'과 '로이'는 우연히 이탈리아 로마에서 잊지 못할 로맨틱한 하루를 함께 보내며 거부할 수 없는 끌림을 인정하게 된다.  운명적으로 맞닿은 두 사람의 마음이 이어지려는 순간, 갑작스러운 사고로 '비비안'은 '로이'와 함께 한 그날의 기억을 모두 잃게 되는데…"
717,탐험왕 엘카노&마젤란: 위대한 첫 번째 항해,2021,,
718,탑건: 매버릭,2021,,
719,태양은 움직이지 않는다,2021,전 세계를 배경으로 펼쳐지는 일급 첩보 요원들의 논스톱 스파이 액션!,하루 동안 정기적인 보고를 하지 않으면 터지게 되는  폭탄을 가슴속에 지닌 채 기밀 정보를 알아내는 AN통신.  요원 ‘타카노(후지와라 타츠야)’와 ‘타오카(타케우치 료마)’는 대기업 CNOX와 태양광 에너지가 관련된 엄청난 비밀을 알게 된다. 여기에 정체불명의 여인 ‘아야코(한효주)’와 일급 스파이인 ‘데이비드 킴(변요한)’까지 관련 정보를 노리면서 상황은 걷잡을 수 없게 되는데…  차세대 에너지를 둘러싼 보이지 않는 전쟁이 시작된다!
720,태양을 덮다,2021,2011년 3월 11일. 동일본 대지진이 일어난 후.,"정치부 기자인 나베시마는 지진과 정부의 대처를 취재하던 중, 무언가 심상찮은 일이 일어나고 있음을 눈치챈다. 어렵사리 얻어낸 정보는, 지진으로 후쿠시마 원전 냉각장치가 멈추었다는 것!  그러나 정보는 제한되어 있고 정부의 대처는 답답하기만 하다.  직접 도비(東日)전력 원자력부에 몸담았던 요코하마씨를 찾아내 취재하는 나베시마. 그러나 그가 말해주는 진실들은 더욱 놀라운데… 패닉에 빠져버린 정부 관계자들과 과학자들, 그리고 정든 고향을 떠나야만 하는 사람들.  모두가 어찌할 바를 몰랐던 혼란, 그 날들의 기록."
721,태일이,2021,,
